OrderID,OrderDate,CustomerID,ProductID,StoreID,EmployeeID,Quantity,UnitPrice,DiscountPct,GrossSales,DiscountAmount,NetSales,TotalCost,GrossProfit,SalesChannel,PaymentMethod
ORD000001,2025-02-14,CUST0240,P0025,S024,E005,2,112531.49,0.0,225062.98,0.0,225062.98,123646.06,101416.92,Online,Cash
ORD000002,2025-08-02,CUST0244,P0040,S008,E024,10,115428.01,0.05,1154280.1,57714.0,1096566.1,765435.8,331130.3,Online,Bank Transfer
ORD000003,2025-02-28,CUST0435,P0008,S023,E022,3,110635.8,0.1,331907.4,33190.74,298716.66,245766.69,52949.97,Online,Credit Card
ORD000004,2026-10-06,CUST0113,P0051,S024,E005,3,96915.4,0.2,290746.2,58149.24,232596.96,157304.64,75292.32,In-Store,Bank Transfer
ORD000005,2026-09-08,CUST0002,P0076,S024,E041,1,56346.29,0.1,56346.29,5634.63,50711.66,28124.25,22587.41,In-Store,UPI
ORD000006,2025-07-14,CUST0485,P0029,S002,E018,4,16955.58,0.1,67822.32,6782.23,61040.09,44793.92,16246.17,Online,Bank Transfer
ORD000007,2026-05-04,CUST0443,P0054,S008,E060,3,70490.55,0.0,211471.65,0.0,211471.65,125155.77,86315.88,In-Store,UPI
ORD000008,2025-06-06,CUST0498,P0057,S004,E037,2,43154.87,0.05,86309.74,4315.49,81994.25,62737.68,19256.57,Online,UPI
ORD000009,2026-09-02,CUST0053,P0043,S004,E037,2,25257.94,0.05,50515.88,2525.79,47990.09,36994.06,10996.03,In-Store,Cash
ORD000010,2025-08-14,CUST0010,P0005,S013,E056,2,67346.24,0.15,134692.48,20203.87,114488.61,64146.0,50342.61,Corporate,Bank Transfer
ORD000011,2026-02-16,CUST0451,P0019,S008,E060,5,41399.92,0.0,206999.6,0.0,206999.6,106088.7,100910.9,Corporate,Bank Transfer
ORD000012,2025-07-24,CUST0490,P0063,S017,E006,3,36363.95,0.1,109091.85,10909.18,98182.67,60800.37,37382.3,In-Store,Bank Transfer
ORD000013,2025-03-20,CUST0400,P0061,S023,E052,4,7145.56,0.05,28582.24,1429.11,27153.13,13099.8,14053.33,In-Store,UPI
ORD000014,2025-05-04,CUST0010,P0042,S007,E050,1,55044.5,0.05,55044.5,2752.23,52292.27,36290.68,16001.59,In-Store,Cash
ORD000015,2026-04-16,CUST0229,P0023,S003,E038,2,66664.36,0.0,133328.72,0.0,133328.72,96976.88,36351.84,In-Store,UPI
ORD000016,2025-08-06,CUST0136,P0002,S023,E022,5,16505.73,0.15,82528.65,12379.3,70149.35,41144.65,29004.7,Corporate,Cash
ORD000017,2026-05-31,CUST0496,P0043,S001,E021,1,23838.4,0.15,23838.4,3575.76,20262.64,18497.03,1765.61,Online,UPI
ORD000018,2026-08-25,CUST0225,P0053,S023,E044,1,53481.43,0.05,53481.43,2674.07,50807.36,45037.35,5770.01,Online,Credit Card
ORD000019,2025-04-14,CUST0040,P0069,S019,E009,2,24978.95,0.2,49957.9,9991.58,39966.32,40644.78,-678.46,In-Store,Credit Card
ORD000020,2026-01-28,CUST0214,P0007,S016,E013,10,57477.01,0.15,574770.1,86215.52,488554.58,385421.3,103133.28,Corporate,Bank Transfer
ORD000021,2026-09-23,CUST0368,P0061,S005,E017,2,7355.8,0.0,14711.6,0.0,14711.6,6549.9,8161.7,Online,UPI
ORD000022,2026-10-07,CUST0203,P0037,S015,E045,1,97055.64,0.1,97055.64,9705.56,87350.08,61038.4,26311.68,Online,Credit Card
ORD000023,2026-08-31,CUST0381,P0049,S014,E014,1,40583.4,0.2,40583.4,8116.68,32466.72,26357.61,6109.11,Corporate,UPI
ORD000024,2026-03-10,CUST0059,P0039,S016,E013,2,6787.56,0.2,13575.12,2715.02,10860.1,8188.5,2671.6,In-Store,Bank Transfer
ORD000025,2025-11-27,CUST0333,P0045,S017,E006,1,97543.4,0.1,97543.4,9754.34,87789.06,58982.89,28806.17,In-Store,Cash
ORD000026,2025-05-23,CUST0397,P0005,S010,E034,4,61108.4,0.05,244433.6,12221.68,232211.92,128292.0,103919.92,Online,UPI
ORD000027,2026-06-24,CUST0128,P0028,S006,E043,2,18997.63,0.05,37995.26,1899.76,36095.5,17782.68,18312.82,Online,UPI
ORD000028,2025-10-05,CUST0216,P0080,S018,E025,2,36208.02,0.0,72416.04,0.0,72416.04,34610.84,37805.2,In-Store,Credit Card
ORD000029,2025-08-21,CUST0419,P0061,S013,E004,3,7224.72,0.1,21674.16,2167.42,19506.74,9824.85,9681.89,Corporate,Cash
ORD000030,2026-06-13,CUST0348,P0009,S017,E006,2,39500.95,0.05,79001.9,3950.1,75051.8,59441.2,15610.6,Online,Bank Transfer
ORD000031,2026-07-25,CUST0243,P0059,S012,E046,1,69757.45,0.1,69757.45,6975.74,62781.71,48450.19,14331.52,In-Store,Cash
ORD000032,2025-03-31,CUST0229,P0078,S014,E014,1,78359.33,0.1,78359.33,7835.93,70523.4,50097.94,20425.46,In-Store,UPI
ORD000033,2026-05-07,CUST0181,P0039,S022,E032,3,7036.6,0.05,21109.8,1055.49,20054.31,12282.75,7771.56,In-Store,Cash
ORD000034,2025-07-18,CUST0411,P0021,S015,E045,3,41562.13,0.2,124686.39,24937.28,99749.11,58998.84,40750.27,In-Store,Credit Card
ORD000035,2025-12-28,CUST0127,P0056,S014,E014,2,46160.23,0.0,92320.46,0.0,92320.46,59490.4,32830.06,In-Store,UPI
ORD000036,2026-03-17,CUST0089,P0060,S010,E002,1,116862.58,0.05,116862.58,5843.13,111019.45,59660.77,51358.68,Corporate,UPI
